任务ID,任务名称,任务说明,来源文件,关联设计章节,前置依赖,是否可并行,并行分组,备注
T-B1-2,准备 manufacturing-trial.ttl 示例本体,"含 Trial/Batch/Parameter/Measurement/Specification/Result 六类 + 关键属性 + rdfs:label 中文；带元信息头",framework-design.md,§4.1 §12.1 §12.3,T-B1-1,是,P1-本体,
T-B1-3,准备 process-window.ttl 第二本体,"用于多本体切换验证；带元信息头与最少 2 个 class",framework-design.md,§12.3 §13.2-T-B1,T-B1-1,是,P1-本体,
T-B1-4,准备 manufacturing-trial.swrl 规则文件,"Rule_Pass/Fail_Low/Fail_High 三条；用于 SWRL 对照模式（Q4 可选通道）",framework-design.md,§4.1 §20.1 §24.1-Q4,T-B1-2,是,P1-本体,
T-B1-5,ontology_registry 单元测试,"覆盖 2 本体发现、缺头跳过、SWRL 路径解析、graph IRI 全字段",acceptance-test-plan.md,TC-010 TC-011 TC-012,T-B1-1;T-B1-2;T-B1-3;T-B1-4,是,P1-本体,备注：Q1 决策已固化，缺头必须 WARN 跳过
T-C1-1,实现 sparql_client.FusekiClient,"query/update/data URL；select/update/construct/upload_graph/ping；FusekiError；带超时与基础认证",framework-design.md,§4.2 §15.2,T-A1-1,是,P1-Fuseki,
T-C1-2,sparql_client 集成测试,"GSP PUT/SELECT/ASK/CONSTRUCT/UPDATE 五类操作 + 错误路径",acceptance-test-plan.md,TC-020,T-C1-1;T-A1-4,否,P1-Fuseki,需 Fuseki 启动
T-D1-1,实现 graph.load_ontologies / list_ontologies,"调用 registry + sparql_client.upload_graph，返回 loaded[] + failed[]（Q10）",framework-design.md,§4.3 §23.12 §24.1-Q10,T-B1-1;T-C1-1;T-L1-1,否,P2-图谱,
T-D1-2,实现 graph.construct_ontology_turtle / graph_iri,"按 kind ∈ ontology|data|result|spec 返回图 IRI；CONSTRUCT 拉取 ontology 图",framework-design.md,§4.3 §19.2,T-D1-1,是,P2-图谱,
T-D1-3,实现 graph.create_trial / create_batch / list_trials / list_batches,"业务对象写入 data 图，含 rdfs:label 与中文名",framework-design.md,§4.3 §23.8,T-D1-1,是,P2-图谱,
T-D1-4,实现 graph.create_measurement / list_measurements,"写入 data 图；支持按 parameter 过滤",framework-design.md,§4.3 §14.3,T-D1-3,是,P2-图谱,
T-D1-5,实现 graph.create_specification / list_specifications,"写入 spec 图；支持 supersedesSpec 链；幂等判定（Q3）",framework-design.md,§4.3 §14.4 §24.1-Q3,T-D1-1,是,P2-图谱,
T-D1-6,实现 graph.save_inference_result / hasLatestResult 维护,"DELETE 旧 hasLatestResult、INSERT 新 Result、写 supersededBy 链",framework-design.md,§12.2 §23.6,T-D1-4;T-D1-5,是,P2-图谱,
T-D1-7,实现 graph.create_and_infer 复合方法,"Measurement 写入 + 调用 inference + Result 持久化；无规格走 not_inferred 短路（Q2）",framework-design.md,§14.3 §24.1-Q2 §24.2,T-D1-4;T-D1-6;T-E1-2,否,P2-图谱,
T-D1-8,graph 模块集成测试,"演示数据写入、跨图 COUNT、字段完整性",acceptance-test-plan.md,TC-051 TC-130 TC-133,T-D1-7,否,P2-图谱,需 Fuseki
T-E1-1,实现 inference.evaluate_single,"value<lower→Fail_Low；value>upper→Fail_High；其余 Pass；返回 Judgement dataclass",framework-design.md,§4.5 §15.4,T-A1-1,是,P3-推理,
T-E1-2,实现 inference.run_inference,"基于 Judgement 调用 graph.save_inference_result；写 reasoner=python-deterministic",framework-design.md,§15.4 §20.1,T-E1-1;T-D1-6,否,P3-推理,
T-E1-3,实现 inference.rerun_after_spec_change,"创建/复用 Spec 版本（Q3 幂等），遍历历史 Measurement，diff 状态变化",framework-design.md,§15.4 §24.1-Q3,T-E1-1;T-D1-5;T-D1-6,否,P3-推理,
T-E1-4,inference 单元测试,"边界 Pass/Fail_Low/Fail_High、deviation 精度、规格幂等、150 条重推理 <10s",acceptance-test-plan.md,TC-060~TC-073 TC-154,T-E1-3,是,P3-推理,性能门 V5
T-F1-1,实现 parameters.register_parameter,"写入 data 图；含 unit/value_type/participatesInInference；幂等",framework-design.md,§4.6 §14.3-补 §23.4,T-D1-1,是,P3-参数,
T-F1-2,实现 parameters.list_parameters,"按 ontology_id 查询 data 图所有参数",framework-design.md,§4.6 §23.4,T-F1-1,是,P3-参数,
T-F1-3,parameters 单元测试,"正常注册/重复注册幂等/字段缺失校验/不参与推理路径",acceptance-test-plan.md,TC-080 TC-081 TC-082 TC-152,T-F1-1;T-F1-2,是,P3-参数,
T-G1-1,实现 owlready_reasoner._turtle_to_rdfxml,"RDFLib 解析 Turtle → 序列化 RDF/XML 临时文件",framework-design.md,§15.3 §17,T-A1-1,是,P3-语义,
T-G1-2,实现 owlready_reasoner.load_and_reason,"Owlready2 World.load + sync_reasoner_pellet；返回 classes/individuals/properties + pellet_status/ms/error",framework-design.md,§15.3 §23.3,T-G1-1,是,P3-语义,
T-G1-3,实现 SHA1 缓存与 threading.Lock 并发,"缓存键=CONSTRUCT Turtle 的 sha1；同 key 串行；30s 锁超时返回 pellet_status=busy（Q7）",framework-design.md,§23.7 §24.1-Q7,T-G1-2,是,P3-语义,
T-G1-4,实现 SWRL 对照模式开关,"参数 enable_swrl=True 时附加 onto.imports SWRL 文件，写 reasoner=pellet-swrl Result（Q4 可选）",framework-design.md,§20.1 §24.1-Q4,T-G1-2;T-B1-4;T-D1-6,是,P3-语义,
T-G1-5,owlready_reasoner 单元/集成测试,"Pellet 成功路径、Java 缺失 fallback、并发 ≤1 次实际调用、SWRL 对照模式",acceptance-test-plan.md,TC-040 TC-041 TC-042 TC-140 TC-141,T-G1-3;T-G1-4,是,P3-语义,需 Java
T-J1-1,实现 mvp/core/llm/base.py LLMProvider Protocol,"name/default_model/available()/chat()",framework-design.md,§18.3,T-A1-1,是,P3-LLM,
T-J1-2,实现 OpenAICompatibleProvider,"OPENAI/DEEPSEEK/QWEN 三常量；统一 /chat/completions",framework-design.md,§18.3,T-J1-1,是,P3-LLM,
T-J1-3,实现 ClaudeProvider,"Anthropic /v1/messages；x-api-key 与 anthropic-version 头",framework-design.md,§18.3,T-J1-1,是,P3-LLM,
T-J1-4,实现 llm/factory.get_provider,"按 LLM_PROVIDER 环境变量返回实例；缺省 claude",framework-design.md,§18.3,T-J1-2;T-J1-3,是,P3-LLM,
T-J1-5,实现 qa.TEMPLATES 三类白名单,"why_fail / spec_change_impact / parameter_or_batch_summary",framework-design.md,§4.7 §15.5 §23.5,T-D1-2,是,P3-LLM,
T-J1-6,实现 qa.extract_intent,"正则识别 mid + 意图；未命中返回 unknown",framework-design.md,§15.5 §24.1-Q5,T-J1-5,是,P3-LLM,
T-J1-7,实现 qa.local_fallback 与 prompt 拼装,"evidence JSON 4KB 上限；sanitize；中文一段话提示词",framework-design.md,§15.5 §23.13,T-J1-5;T-L1-3,是,P3-LLM,
T-J1-8,实现 qa.answer 集成 provider 与 fallback,"provider 失败直接 local_fallback（Q9，不切 provider）；source 字段如实标注",framework-design.md,§15.5 §24.1-Q9,T-J1-4;T-J1-6;T-J1-7;T-D1-6,否,P3-LLM,
T-J1-9,qa 单元/集成测试,"fallback、白名单外、provider 切换、超时降级、敏感字段过滤",acceptance-test-plan.md,TC-090 TC-091 TC-092 TC-093 TC-153 TC-163,T-J1-8,是,P3-LLM,
T-H1-1,实现 mvp/api/envelope.py,"ok()/fail() 注入 trace_id/trace/started_at/elapsed_ms",framework-design.md,§22.3 §23.2,T-L1-1,是,P4-API,
T-H1-2,实现 mvp/api/trace_middleware.py,"TraceMiddleware；step() context manager；日志双写",framework-design.md,§22.5,T-H1-1;T-L1-2,是,P4-API,
T-H1-3,实现 mvp/api/exceptions.py 全局异常,"DomainError/HTTPException/RequestValidationError/Exception → 统一信封 + trace（P1）",framework-design.md,§23.1,T-H1-1,是,P4-API,
T-H1-4,实现 main.py 装配（v1 router + CORS + auth_stub）,"FastAPI 实例 + APIRouter(prefix=/api/v1) + CORS allow_origins=* + auth_stub",framework-design.md,§14 §21.2 §21.6,T-H1-2;T-H1-3,是,P4-API,
T-H1-5,实现 /health 端点,"返回 fuseki/owlready/reasoner/llm 四个嵌套对象（§23.9 统一字段）",framework-design.md,§14.6 §23.9,T-H1-4;T-C1-1;T-G1-2;T-J1-4,否,P4-API,
T-H1-6,实现 /ontologies 与 /ontologies/load,"GET 列表（§23.10 字段）；POST 加载 reload + loaded/failed（Q10）",framework-design.md,§14.1 §23.10 §23.12,T-H1-4;T-D1-1,否,P4-API,
T-H1-7,实现 /ontologies/{id}/subjects 与 /reason,"subjects 调 graph.construct + load_and_reason；reason 单独触发 Pellet",framework-design.md,§14.2 §23.4,T-H1-4;T-D1-2;T-G1-2,否,P4-API,
T-H1-8,实现 /ontologies/{id}/activate,"演示态记忆当前本体；服务端不持久化；缺 ontology_id 返回 ONTOLOGY_ID_REQUIRED（Q5）",framework-design.md,§5 §24.1-Q5 §24.3,T-H1-4,是,P4-API,
T-H1-9,实现 /parameters GET/POST,"调 parameters 模块；含字段校验",framework-design.md,§14 §23.4,T-H1-4;T-F1-2,是,P4-API,
T-H1-10,实现 /measurements GET/POST,"POST 走 graph.create_and_infer；GET 支持 parameter 过滤；非数值 422",framework-design.md,§14.3 §23.4 §24.2,T-H1-4;T-D1-7,是,P4-API,
T-H1-11,实现 /specifications POST 与 /specifications/change,"前者写 spec 图；后者升版/幂等 + 重推理（Q3）",framework-design.md,§14.4 §23.4 §24.1-Q3,T-H1-4;T-D1-5;T-E1-3,是,P4-API,
T-H1-12,实现 /impacts/latest GET,"返回最近一次规格变更影响报告",framework-design.md,§5 §23.4,T-H1-11,是,P4-API,
T-H1-13,实现 /qa POST,"调 qa.answer；ontology_id 必填",framework-design.md,§14.5 §24.1-Q5,T-H1-4;T-J1-8,是,P4-API,
T-H1-14,API 集成测试（httpx）,"信封、trace、错误码、404/422/500、并发 reason、reload 不破坏分图",acceptance-test-plan.md,TC-100 TC-101 TC-130 TC-160 TC-161 TC-162,T-H1-5~T-H1-13,否,P4-API,
T-K1-1,编写 demo_data.py,"生成 Trial T001、Batch B01-B03、Parameter temperature、Spec_v1、M001-M007；可重入幂等",acceptance-test-plan.md,TC-050 §3 通用测试数据,T-D1-7,是,P5-数据,
T-I1-1,实现 mvp/frontend/ui_utils.py,"render_trace（带徽标）、render_pellet_status、错误提示、下载 trace 按钮",framework-design.md,§21.3 §22.6,T-A1-1,是,P5-前端,
T-I1-2,实现 frontend/app.py 顶部状态栏与本体下拉,"含 fuseki/owlready/llm/pellet 状态徽标；本体切换写 session_state",framework-design.md,§6.1 §20.3 §22.6,T-I1-1;T-H1-5,否,P5-前端,
T-I1-3,实现 tabs/tab_ontology.py,"加载全部本体到 Fuseki；展示 loaded/failed；切换；展示 graph 三元组数",framework-design.md,§6.2 §22.6,T-I1-2;T-H1-6,是,P5-前端,
T-I1-4,实现 tabs/tab_subjects.py,"调 /subjects；展示 classes/individuals/properties；支持过滤；trace 面板",framework-design.md,§6.3 §22.6,T-I1-2;T-H1-7,是,P5-前端,
T-I1-5,实现 tabs/tab_pellet.py,"触发 /reason；展示 pellet_status/ms/inferred_triple_count；busy/失败标识",framework-design.md,§6.4 §20.3 §24.1-Q7,T-I1-2;T-H1-7,是,P5-前端,
T-I1-6,实现 tabs/tab_measure.py,"录入 Measurement；规格变更；差异报告表；Python/SWRL 徽标",framework-design.md,§6.5 §20.3 §22.6,T-I1-2;T-H1-10;T-H1-11,是,P5-前端,
T-I1-7,实现 tabs/tab_qa.py,"参数注册；自然语言问答；展示 source/SPARQL/evidence；trace stepper",framework-design.md,§6.6 §22.6,T-I1-2;T-H1-9;T-H1-13,是,P5-前端,
T-I1-8,前端边界与 grep 检查,"代码 grep 不出现 from mvp.core / import mvp.core / importlib 引用",acceptance-test-plan.md,TC-116 TC-165,T-I1-3~T-I1-7,是,P5-前端,
T-L4-1,全模块埋点补全,"graph/reasoner/qa/inference/parameters 各关键节点 step()，reason 写明判据",framework-design.md,§22.10,T-H1-14;T-J1-9;T-G1-5,是,P5-观测,
T-L4-2,Trace 与日志验收,"V19~V24 + V25~V27；按 trace_id 全链路可 grep；reason 非空",acceptance-test-plan.md,TC-100 TC-101 TC-102 TC-160~TC-164,T-L4-1,是,P5-观测,
T-CN-1,中文注释与 docstring 通审,"模块顶部 + 公开类 + 核心函数 + API 路由 + 复杂分支注释；解释为什么",framework-design.md,§4.0,所有实现任务,是,P6-收尾,
T-K2-1,pytest 套件汇总与 CI 命令,"在 README 列 pytest -q；按层组织；标注需 Fuseki/Java 的标签",acceptance-test-plan.md,§7,T-D1-8;T-E1-4;T-F1-3;T-G1-5;T-J1-9;T-H1-14,是,P6-收尾,
T-E2E-1,端到端 TC-120 主流程演练,"1 次完整路径：加载→切换→Pellet→录入→规格变更→注册参数→问答",acceptance-test-plan.md,TC-120 TC-166,T-CN-1;T-K1-1;T-I1-3~T-I1-7,否,P7-验收,
T-E2E-2,端到端 TC-121 异常恢复演练,"Fuseki 停/起、Java 缺失、LLM Key 移除三场景",acceptance-test-plan.md,TC-121,T-E2E-1,否,P7-验收,
T-E2E-3,记录验收结果到 plan/test-results.md,"逐 TC 通过/不通过 + 证据链 + trace_id 抽样",acceptance-test-plan.md,§7,T-E2E-2,是,P7-验收,
